product_id,user_id,user,rating
190,1,karmakyun2nd,5
190,2,tranquangvinh_vv,5
190,3,nguyenquoctoan2005,5
190,4,nguyenthuyhavi,5
190,5,luonganh5595,5
190,6,hong_son0509,5
190,7,duylee1103,5
190,8,x*****5,5
190,9,tinotrip02,5
190,10,lechitam14062002,5
190,11,datkucay123,5
190,12,hjhuu,5
190,13,tuanannh10,5
190,14,khoanguyen210804,5
190,15,nguynng873,5
190,16,nq3w_79uom,5
190,17,minhhieuhere,5
190,18,xipatcheo145,5
190,19,trinhtam0503,5
190,20,iamanhhudson,5
190,21,2lazx4i2a8,5
190,22,thugymwear,5
190,23,hyobnnguyen,5
190,24,khanhluong22,5
190,25,duyytran28,5
190,26,nubitran20,5
190,27,huyen170691,5
190,28,mxduy23,5
190,29,hoanghailong12,5
190,6,hong_son0509,5
190,30,z*****n,5
190,31,q*****2,5
190,32,r*****0,5
190,33,m*****8,5
190,34,minhkitq,5
190,35,dorywu,5
190,36,hughleos,5
190,37,l*****7,5
190,38,adrick101,5
190,39,duongbobby93,5
190,40,t*****0,5
190,41,ie1h6xvm3_,5
190,42,13055v,5
190,43,prince_tb,5
190,44,n*****a,5
190,45,thaonhitrannnn,5
190,46,antiyou123f,5
190,47,khacnghi0906,5
190,48,nguyennvu02,5
190,49,d*****1,5
190,50,h*****8,5
190,51,thieugiang123,5
190,52,quan012511,5
190,53,nguyenvuong2828,5
190,54,g*****g,4
190,55,vothanhtrung121,4
190,56,x*****_,4
190,57,t*****7,4
190,58,pisces_60,4
190,33,m*****8,4
190,59,m*****a,4
190,60,nttramy99,4
190,61,minh201298,4
190,62,duongphong0121,4
190,63,l*****6,4
190,64,1chutsexy,4
190,65,p*****8,4
190,40,t*****0,4
190,66,shinkun2232000,4
190,67,k*****3,4
190,68,n*****k,4
190,69,ducanhxpa,4
190,70,alex.jamesk,4
190,71,h_ductin24,4
190,72,nghia_131095,4
190,73,dinhphuho2304,4
190,74,pphucyen,4
190,75,cu_ken92,4
190,76,nammin98,4
190,77,famtien2k16,4
190,78,callmequockhanh,4
190,79,lyvanquy203.mean,4
190,80,d*****3,4
190,81,jack3678,4
190,82,hwng253,4
190,83,rionguyen1207,4
190,84,ckube2033,4
190,85,danielcao_54,4
190,86,c*****0,4
190,87,tankiet1604,4
190,88,dulinh321,4
190,89,phuco1234ct,4
190,90,nguyenquan1234.,4
190,91,s*****2,4
190,92,thor299,4
190,93,tientranpq_hs,4
190,94,hc6ujbrwf16_xfh4qifktlw19rm9,4
190,95,e07mlbo32l,4
190,96,hoang_anh_vu99,4
190,97,stailit,4
190,98,mylano772,4
190,99,k*****7,4
190,100,anhsoi1112002,4
190,101,truonggiangyb123,4
190,102,cunvachip3103,4
190,103,heavenknows2010,4
190,104,bohoang0102,4
190,105,h*****5,3
190,106,namtran2598,3
